time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,-12.029805835150949,0.03571600990396639,0.043513132311414376
0.02,0.02,-12.117853464485751,0.02537149841161188,0.043513132311414376
0.03,0.03,-12.176256580979196,0.020314623723868396,0.043513132311414376
0.04,0.04,-12.188021312855762,0.017128373986797413,0.043513132311414376
0.05,0.05,-12.231680119532218,0.016404435756819963,0.043513132311414376
0.06,0.06,-12.240908319425879,0.01594986855044139,0.043513132311414376
0.07,0.07,-12.243383758862244,0.014728572130599872,0.043513132311414376
0.08,0.08,-12.245142144966211,0.013693863553332663,0.043513132311414376
0.09,0.09,-12.250557911045403,0.012818030816456345,0.043513132311414376
0.1,0.1,-12.243901465093504,0.0126836335401233,0.043513132311414376
0.11,0.11,-12.2413705972851,0.012052215588079038,0.043513132311414376
0.12,0.12,-12.248578548894407,0.01150200552297539,0.026376578340464134
0.13,0.13,-12.246132654507633,0.011001173083551731,0.01828231732920945
0.14,0.14,-12.23745558187348,0.010605688489516079,0.005471499688543658
0.15,0.15,-12.225867378935952,0.010261779613415418,0.006915446540378381
0.16,0.16,-12.218602054592239,0.009950999137596851,0.010228720826543955
0.17,0.17,-12.21285109220249,0.009594257548054085,0.013250106215869034
0.18,0.18,-12.200746453309101,0.009387446532025985,0.01711105733793132
0.19,0.19,-12.190851866195523,0.009111816472352608,0.020275312252815467
0.2,0.2,-12.183434652457555,0.008901555774861465,0.023339054735145703
0.21,0.21,-12.171912538813967,0.008767083734570526,0.02657797001429779
0.22,0.22,-12.1611777377756,0.008714935319304347,0.028138085541053175
0.23,0.23,-12.160435280063167,0.008573744720067274,0.027221092495530917
0.24,0.24,-12.152088940539805,0.00839416133770474,0.02626085755953458
0.25,0.25,-12.143900861189342,0.008188122503913233,0.025846399135435495
0.26,0.26,-12.13928339165557,0.007993508341958668,0.024692495900858053
0.27,0.27,-12.145528117193559,0.007923000333585036,0.021138485622692882
0.28,0.28,-12.145182480542132,0.0077762245249733235,0.01770309401890005
0.29,0.29,-12.138299368109227,0.007656214100503597,0.014900747812057106
0.3,0.3,-12.133166372193124,0.007604503195463512,0.012136914526844397
0.31,0.31,-12.132026178870332,0.007494061387589676,0.010206505489493768
0.32,0.32,-12.13015838333367,0.007408653703752467,0.009467156491207
0.33,0.33,-12.125836879211938,0.00731175164535464,0.008224661428110623
0.34,0.34,-12.121325869857253,0.007207797214667836,0.008349038560699792
0.35,0.35,-12.117786859827792,0.007111597843286404,0.009432916331305288
0.36,0.36,-12.117249373872218,0.006997784512336544,0.010299267559683094
0.37,0.37,-12.116361695100798,0.006908713462123921,0.009733977107294338
0.38,0.38,-12.113852569345447,0.0068341842574220265,0.008453638850437062
0.39,0.39,-12.109964715721077,0.006774432775913787,0.008095059034271341
0.4,0.4,-12.106890387206683,0.0067066433935276245,0.008248936140902583
0.41,0.41,-12.100506695309752,0.006652187968037458,0.008784688285689944
0.42,0.42,-12.097340566645595,0.006559750225510534,0.00903150975063453
0.43,0.43,-12.091015801952024,0.006511025288637841,0.010062553079755772
0.44,0.44,-12.085425536685198,0.006473180910509291,0.01156005836220827
0.45,0.45,-12.085969096633043,0.0064284533182143635,0.012205822272648709
0.46,0.46,-12.081077255836407,0.006395275708473887,0.012685610300220413
0.47,0.47,-12.078317971854652,0.006307709992854493,0.012551080535361431
0.48,0.48,-12.073708434091984,0.006250874860288445,0.012281051458261909
0.49,0.49,-12.067431568159131,0.006196373360054948,0.012356568467753872
0.5,0.5,-12.066014758244135,0.006129839175494293,0.011704201649578848
0.51,0.51,-12.062769459408125,0.006066683965944961,0.011397766326838733
0.52,0.52,-12.059115292022494,0.006026431658998617,0.010928979291010122
0.53,0.53,-12.058543709863466,0.005980055508108255,0.010484550066508173
0.54,0.54,-12.060419674668706,0.005927543878928487,0.00984617919938887
0.55,0.55,-12.056951240034644,0.005881511418733009,0.008596419703065324
0.56,0.56,-12.05066236275413,0.0058493890835127705,0.008212158163594182
0.57,0.57,-12.047897439489702,0.005824396113531464,0.007686928368787775
0.58,0.58,-12.046868400612697,0.005762757700469763,0.007173575382268809
0.59,0.59,-12.046573769892824,0.005696045685698977,0.007050343828684465
0.6,0.6,-12.045855400052291,0.0056424531272598446,0.006603658636633342
0.61,0.61,-12.040796787179872,0.00560739556142009,0.006851843040556917
0.62,0.62,-12.036592573192877,0.005566613504061702,0.007674731684535995
0.63,0.63,-12.030271921641205,0.005539404094316495,0.008921941804184031
0.64,0.64,-12.027545515140964,0.005495909850987652,0.009189231628362049
