time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,-13.360347137013731,0.0471626946190356,0.037439045164292584
0.02,0.02,-13.18215041835942,0.0336477886411548,0.037439045164292584
0.03,0.03,-13.12398129862153,0.027876064610265545,0.037439045164292584
0.04,0.04,-13.101051245021807,0.023411284585495924,0.037439045164292584
0.05,0.05,-13.063684181155649,0.020378603664039825,0.037439045164292584
0.06,0.06,-13.080174326843363,0.01824552050585484,0.037439045164292584
0.07,0.07,-13.066387175715258,0.01681596251194039,0.037439045164292584
0.08,0.08,-13.066630561677181,0.015553193012680528,0.037439045164292584
0.09,0.09,-13.067591979204684,0.014381634939044825,0.037439045164292584
0.1,0.1,-13.06974289924733,0.013445708020830631,0.037439045164292584
0.11,0.11,-13.099138172223956,0.01301726513890463,0.037439045164292584
0.12,0.12,-13.123294479352362,0.012405586796269413,0.023868269468864518
0.13,0.13,-13.138529204623314,0.011820581042480856,0.026704026614787768
0.14,0.14,-13.149940009063974,0.011481681408423587,0.03313622142381696
0.15,0.15,-13.141534937963407,0.011063667925876828,0.034718427650305105
0.16,0.16,-13.14091439372686,0.010708956375169618,0.03609295724928468
0.17,0.17,-13.134422513786241,0.010322963373915346,0.034074589351537024
0.18,0.18,-13.135013899387884,0.010083169132312103,0.03035488581445639
0.19,0.19,-13.14245661520878,0.009799979750971148,0.024694050955278216
0.2,0.2,-13.138750022553577,0.009615443044085728,0.014153229257431977
0.21,0.21,-13.117355041178085,0.00949847317209425,0.009526540321593793
0.22,0.22,-13.114923558275905,0.00952233393683613,0.01103668358130464
0.23,0.23,-13.123213824608138,0.00951358216458497,0.011600003976829375
0.24,0.24,-13.11729364834872,0.009578735881855083,0.011154713805247683
0.25,0.25,-13.127353082239607,0.009563366610305032,0.010490001152265567
0.26,0.26,-13.115691426050406,0.009601484103212399,0.010384097480461263
0.27,0.27,-13.117960203173146,0.009629086837384301,0.01031922875445343
0.28,0.28,-13.12990091123425,0.009682620203984355,0.009885547255253282
0.29,0.29,-13.135567461867417,0.009804869276760827,0.008658194318988304
0.3,0.3,-13.145377137900624,0.009830527865374418,0.010068347723193477
0.31,0.31,-13.127049499148027,0.009760129722885412,0.009770142018125705
0.32,0.32,-13.113493387896364,0.009784442055593204,0.009949889580238567
0.33,0.33,-13.10742472365495,0.00988440012848458,0.011454899907374734
0.34,0.34,-13.091785656732732,0.009943064199317373,0.015253121800569544
0.35,0.35,-13.101823011994927,0.010005269226036204,0.01620810404377569
0.36,0.36,-13.097038556824243,0.009996997666426538,0.017594950993097443
0.37,0.37,-13.106153862815393,0.010059028147620191,0.01789763381801891
0.38,0.38,-13.107968354976451,0.010122605753692037,0.017278302501232596
0.39,0.39,-13.114234369069257,0.010245501571128255,0.015453475320838102
0.4,0.4,-13.12005428773657,0.01023293292352652,0.010526429115363894
0.41,0.41,-13.122007637314097,0.01024895451908185,0.009632839492655613
0.42,0.42,-13.129651526712097,0.010213405051076537,0.011743632137615473
0.43,0.43,-13.133173038811925,0.010403371929145857,0.013803559544215577
0.44,0.44,-13.143764288929969,0.010531573760131781,0.014924157657898581
0.45,0.45,-13.141996915401595,0.010579392035249215,0.01560103020933239
0.46,0.46,-13.141249333059623,0.010629379631251702,0.014053560371878177
0.47,0.47,-13.148082893161206,0.010761894545759784,0.0137168870700175
0.48,0.48,-13.130669694255806,0.010786724635546354,0.011289066252849572
0.49,0.49,-13.107047914807906,0.010737345846905721,0.012718452292755008
0.5,0.5,-13.092095671466055,0.010737245350529931,0.01768377616920093
0.51,0.51,-13.082509366208788,0.010813682252150575,0.023018966863137237
0.52,0.52,-13.074861133633393,0.010837302150189836,0.02781598861626812
0.53,0.53,-13.074355799571832,0.010894874101081715,0.030684704065629304
0.54,0.54,-13.074499237385638,0.010853452377206824,0.03095148398365796
0.55,0.55,-13.070082275798702,0.010850555337841997,0.03019392051407134
0.56,0.56,-13.073903258172725,0.010861635102207182,0.02722294453180548
0.57,0.57,-13.074382813939904,0.010883982843123382,0.01946850295072357
0.58,0.58,-13.071062954229266,0.01086634543768845,0.011628350129316047
0.59,0.59,-13.048484162840033,0.01074130256059263,0.010927805568734506
0.6,0.6,-13.047062535842928,0.010794394994572722,0.011720034362457766
0.61,0.61,-13.057739339432414,0.010813052728756739,0.011181031851359921
0.62,0.62,-13.061130369968929,0.010777432909974518,0.010899270531318693
0.63,0.63,-13.05663338570735,0.010707271955217978,0.010696767827694414
0.64,0.64,-13.048234438145684,0.01055299472729391,0.01091764350385551
0.65,0.65,-13.06032497978726,0.010569934887172318,0.010428035451023453
0.66,0.66,-13.074137544771649,0.010475397669888873,0.010463206539606335
0.67,0.67,-13.08621898065636,0.010433351921027194,0.012709488266317072
0.68,0.68,-13.099540763884832,0.010438884131318011,0.017483165620993647
0.69,0.69,-13.117678394911154,0.01056994052839695,0.023380010169660657
0.7,0.7,-13.129345328258385,0.010679703044458045,0.02807754082284099
0.71,0.71,-13.149773515411695,0.010707845775228353,0.03461996363184889
0.72,0.72,-13.168809082651217,0.010709095444453693,0.04132600580027877
0.73,0.73,-13.163908898770167,0.010607800803987337,0.042976787951268934
0.74,0.74,-13.173060802355241,0.010549475806606047,0.04120030765175445
0.75,0.75,-13.172393284343691,0.010454387804873665,0.03755619892553838
0.76,0.76,-13.17441173661818,0.010430171078141787,0.03306771813232751
0.77,0.77,-13.164782790522231,0.01033579691562823,0.026653472672363124
0.78,0.78,-13.172039282260881,0.010305010577586001,0.020024839519451512
0.79,0.79,-13.18629632919904,0.010282489246623113,0.015733287768294434
0.8,0.8,-13.196021762968302,0.010319458980477246,0.012516906219521964
0.81,0.81,-13.196427388524905,0.010394091087475636,0.01193084741866123
0.82,0.82,-13.198376268417626,0.01043597373733142,0.013310270826200074
0.83,0.83,-13.210564446265114,0.01032856664806635,0.015178003552794264
0.84,0.84,-13.230649571099228,0.010260513882049556,0.02040652463262678
0.85,0.85,-13.227399944371532,0.010367425981232511,0.022391536817230124
0.86,0.86,-13.222882884855977,0.010450577960605813,0.022517888240222057
0.87,0.87,-13.21032258375428,0.010374595387480891,0.01877605108413117
0.88,0.88,-13.210464915915024,0.010405803662518927,0.01476154665257232
0.89,0.89,-13.214472033727805,0.010310687188550558,0.01247030038471126
0.9,0.9,-13.214327879750492,0.010237141504472311,0.011180502225746331
0.91,0.91,-13.206908806263069,0.010104881185434985,0.009798838398080404
0.92,0.92,-13.2003556544683,0.010152038282526529,0.009447568827429675
0.93,0.93,-13.213496555843616,0.010193488411819792,0.009345253328617615
0.94,0.94,-13.217234380812123,0.01020513747868522,0.007684956464356615
0.95,0.95,-13.217058897417177,0.010239724990256912,0.006202305287208159
0.96,0.96,-13.232109137573385,0.010204365761564142,0.008231109120281063
0.97,0.97,-13.237423643175317,0.010219540983350303,0.011000345696757494
0.98,0.98,-13.224918061739867,0.010291648899726268,0.011085222130787402
0.99,0.99,-13.213997231118917,0.010264252925357133,0.011102209304072047
1.0,1.0,-13.199856536047095,0.010302368325551531,0.01246243446963292
