time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-12.419352787765144,-11.853346780450734,0.053771146187777716,0.056350508605697534
0.02,0.02,-12.318798364497246,-11.830628249749074,0.053771146187777716,0.056350508605697534
0.03,0.03,-12.243801279651915,-11.74045302782244,0.053771146187777716,0.056350508605697534
0.04,0.04,-12.183122971283499,-11.67232167876131,0.053771146187777716,0.056350508605697534
0.05,0.05,-12.152423447161015,-11.65272994667581,0.053771146187777716,0.056350508605697534
0.06,0.06,-12.16113970341525,-11.673075832948836,0.053771146187777716,0.056350508605697534
0.07,0.07,-12.148270739532128,-11.649457041228759,0.053771146187777716,0.056350508605697534
0.08,0.08,-12.150926581862272,-11.646681047917172,0.053771146187777716,0.056350508605697534
0.09,0.09,-12.161861093656716,-11.664674731040751,0.053771146187777716,0.056350508605697534
0.1,0.1,-12.175714832859269,-11.679680117623528,0.053771146187777716,0.056350508605697534
0.11,0.11,-12.186372316901133,-11.689239648490155,0.053771146187777716,0.056350508605697534
0.12,0.12,-12.188320800280078,-11.697614617583834,0.028431054162342952,0.028013230616209934
0.13,0.13,-12.189328835917449,-11.702886693083581,0.016570333597124273,0.01981801829699781
0.14,0.14,-12.197501605780328,-11.716951587277016,0.018384407824284504,0.02422466646064644
0.15,0.15,-12.204139304824617,-11.725813915425688,0.019743669637692633,0.026868866124069902
0.16,0.16,-12.20167655635497,-11.730215961784742,0.02042181689137223,0.03003345181591905
0.17,0.17,-12.196930835153788,-11.729464482232043,0.01750097648562108,0.028558357939397913
0.18,0.18,-12.188029760801204,-11.71528405327464,0.012677622327932904,0.022336979571008518
0.19,0.19,-12.189398658028695,-11.713487228662002,0.00839966378085854,0.01725714409419066
0.2,0.2,-12.182580425677907,-11.702715567462963,0.007128571631153772,0.013976348931699988
0.21,0.21,-12.161464934407071,-11.690807733626963,0.012098423587068344,0.013693978713333074
0.22,0.22,-12.152813005894815,-11.679877006888988,0.016888054177725195,0.016666020646684068
0.23,0.23,-12.156382600362823,-11.685323777742271,0.019292720206177755,0.0184199066172937
0.24,0.24,-12.162918839394196,-11.693876863612163,0.01952089586277558,0.018754563989609754
0.25,0.25,-12.16311694398432,-11.69724232037418,0.018054136098045185,0.017661360924537364
0.26,0.26,-12.15773681521416,-11.687934456781553,0.016239737887263017,0.015581140514287996
0.27,0.27,-12.156795725820238,-11.691434772385536,0.013955691472911832,0.011619943710903198
0.28,0.28,-12.166007712069264,-11.701305714635069,0.011872189882670284,0.009697122423459291
0.29,0.29,-12.154944502928634,-11.690466695627178,0.008499966747358239,0.007027618508994128
0.3,0.3,-12.145131357266933,-11.685353727208764,0.006071458552208816,0.006210322683085346
0.31,0.31,-12.136496276689579,-11.681776720507552,0.008859417293899882,0.0067697935236630535
0.32,0.32,-12.130206090602679,-11.676153043374503,0.011906339752230523,0.007426076948528124
0.33,0.33,-12.122457729397528,-11.668878936060683,0.015203660338833875,0.009794976148215465
0.34,0.34,-12.106920389882934,-11.657624958979902,0.01946173161039182,0.013248588998613624
