time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-133.26163756938513,-133.52119111025615,0.4034609034616903,0.5466406326710611
0.02,0.02,-132.72028198149755,-132.78446348809115,0.4034609034616903,0.5466406326710611
0.03,0.03,-132.54018764439272,-132.34314750423738,0.4034609034616903,0.5466406326710611
0.04,0.04,-132.23511554126668,-131.90351551483892,0.4034609034616903,0.5466406326710611
0.05,0.05,-132.1543369023514,-131.71367854305427,0.4034609034616903,0.5466406326710611
0.06,0.06,-131.98932433795733,-131.57505941328446,0.4034609034616903,0.5466406326710611
0.07,0.07,-131.85260591898358,-131.45129303844217,0.4034609034616903,0.5466406326710611
0.08,0.08,-131.7531241697994,-131.33046579763834,0.4034609034616903,0.5466406326710611
0.09,0.09,-131.6688933558373,-131.28445399619878,0.4034609034616903,0.5466406326710611
0.1,0.1,-131.58803661202836,-131.1505030883756,0.4034609034616903,0.5466406326710611
0.11,0.11,-131.53810577072028,-131.0802637066313,0.4034609034616903,0.5466406326710611
0.12,0.12,-131.48009397380952,-131.02258258616772,0.34522784072702944,0.41187102621369354
0.13,0.13,-131.4595512852678,-131.04662156502602,0.2782393595160266,0.30105134719796905
0.14,0.14,-131.4507940869779,-131.06219594728566,0.24124862596728713,0.24294260622765895
0.15,0.15,-131.4383648381122,-131.06359403445586,0.19010250672215157,0.19347907250928803
0.16,0.16,-131.40562163317963,-131.05935540712008,0.1501640350993047,0.14769995656801377
0.17,0.17,-131.34989573465216,-131.01772630421206,0.1246039067187761,0.10990361570400796
0.18,0.18,-131.33229550740882,-131.02719584901106,0.1039384841940201,0.08085700578278544
0.19,0.19,-131.30174313870856,-131.01674047254994,0.09028129996685601,0.04034565025716809
0.2,0.2,-131.27700620251372,-131.00244716261108,0.0849066736463156,0.02582735366907931
0.21,0.21,-131.13649935472347,-130.89937810820078,0.10635445539401041,0.04811867652469289
0.22,0.22,-131.11089235649743,-130.86814200293867,0.12389757481509096,0.06836066139995854
0.23,0.23,-131.09498188861127,-130.87023450898093,0.13357980200793845,0.07877490441507333
0.24,0.24,-131.14655300364018,-130.9289932234376,0.12734126442571594,0.0761858687929411
0.25,0.25,-131.0964309681073,-130.8941673266726,0.11961548845534005,0.07316804146405678
0.26,0.26,-131.15972635931072,-130.92287201866532,0.10244522888528783,0.06446352547032326
0.27,0.27,-131.1874367939118,-130.95264483155995,0.08800301994067372,0.05936544992054413
0.28,0.28,-131.21677607445912,-130.96839045290778,0.07267232537046028,0.052039830746843756
0.29,0.29,-131.19507243743362,-130.89437874187595,0.05798874492182138,0.043727190476595325
0.3,0.3,-131.1900411600422,-130.89950130294443,0.04357848863193061,0.033007440867970354
0.31,0.31,-131.2014076066969,-130.9535102511655,0.04556341708554618,0.03544441023004512
