time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.010000000000000009,0.010000000000000009,-131.06797354158735,-130.90924645447015,0.21772584507757398,0.22299889774516887
0.020000000000000018,0.020000000000000018,-131.4590677682729,-131.43705040338992,0.21772584507757398,0.22299889774516887
0.030000000000000027,0.030000000000000027,-131.4220878778667,-131.49039451459606,0.21772584507757398,0.22299889774516887
0.040000000000000036,0.040000000000000036,-131.477766470102,-131.49198295393603,0.21772584507757398,0.22299889774516887
0.050000000000000044,0.050000000000000044,-131.32159111526425,-131.31606144165298,0.21772584507757398,0.22299889774516887
0.06000000000000005,0.06000000000000005,-131.1505850054851,-131.12749445436398,0.21772584507757398,0.22299889774516887
0.06999999999999995,0.06999999999999995,-131.00239483976566,-131.00032823740958,0.21772584507757398,0.22299889774516887
0.07999999999999996,0.07999999999999996,-131.00771615736355,-131.02031330221115,0.21772584507757398,0.22299889774516887
0.08999999999999997,0.08999999999999997,-131.04358908118803,-131.0955081214462,0.21772584507757398,0.22299889774516887
0.09999999999999998,0.09999999999999998,-130.97501842943808,-130.9824946628033,0.21772584507757398,0.22299889774516887
0.10999999999999999,0.10999999999999999,-130.9376628114799,-130.92818341898658,0.21772584507757398,0.22299889774516887
0.12,0.12,-130.8643375755477,-130.8492355500188,0.2141480906182169,0.22776514826413136
0.13,0.13,-130.79652226273512,-130.76217117774172,0.20745177500146486,0.21591314634453987
0.14,0.14,-130.8114709533946,-130.74619360254928,0.1588600254710907,0.17381326894654803
0.15000000000000002,0.15000000000000002,-130.80536872846994,-130.74496627380174,0.11819954994425683,0.14328850651087863
0.16000000000000003,0.16000000000000003,-130.8123346275716,-130.76385055416029,0.09769022322946311,0.13208870345788515
0.17000000000000004,0.17000000000000004,-130.81337721281858,-130.77429894650896,0.09514267571958283,0.1303102920654427
0.18000000000000005,0.18000000000000005,-130.7996073968301,-130.7590425975897,0.0882515363723272,0.12202233313758268
0.18999999999999995,0.18999999999999995,-130.80353990591806,-130.78686220309748,0.06382431860820689,0.08325664289313363
0.19999999999999996,0.19999999999999996,-130.82417867795007,-130.8203499907931,0.04344523521573269,0.05775527917683627
0.20999999999999996,0.20999999999999996,-130.80850738746537,-130.81716453104173,0.019361120531643898,0.03529611903130794
0.21999999999999997,0.21999999999999997,-130.8254512681757,-130.85078726033154,0.009509343314763193,0.035624411087704755
0.22999999999999998,0.22999999999999998,-130.86039269104762,-130.88607587314505,0.017509047615747165,0.04735718084909374
0.24,0.24,-130.86028747095835,-130.8990748324685,0.022161968863495356,0.054066874938805486
0.25,0.25,-130.8766716698419,-130.92901684078697,0.02733238672304955,0.060338094370664695
0.26,0.26,-130.9148699878222,-130.96311152029637,0.03783590898610385,0.06886029978876358
0.27,0.27,-130.94578139828823,-130.98045438940892,0.0493954340015216,0.07475848232416633
0.28,0.28,-130.96564522866072,-130.99504515493922,0.057151091851120016,0.07335979470680379
0.29000000000000004,0.29000000000000004,-130.97658251385374,-131.0016592350893,0.061330249690827746,0.07027813086406569
0.30000000000000004,0.30000000000000004,-130.98422155909765,-131.00932277404274,0.0642642554518692,0.06757106038052679
0.31000000000000005,0.31000000000000005,-130.99248176310857,-131.01394711780043,0.06081751861655754,0.05801099572006767
0.31999999999999995,0.31999999999999995,-131.0104662811503,-131.0222054864397,0.05678643463262877,0.04915125401648724
0.32999999999999996,0.32999999999999996,-130.9986444100383,-131.0045951478025,0.0522400023141666,0.0401297232525453
0.33999999999999997,0.33999999999999997,-130.9899284622596,-130.96912717433074,0.041848016905192895,0.02850712734974261
0.35,0.35,-131.00396969346633,-130.96401398407255,0.029293170272856123,0.021675264023281092
0.36,0.36,-130.9947655537184,-130.95532368417403,0.01926065935951834,0.022945151757675506
0.37,0.37,-130.9807885855757,-130.95154908404504,0.0133683621987285,0.026104174463314023
0.38,0.38,-130.99091299237884,-130.96116262687502,0.010354358161615184,0.027354999071751054
0.39,0.39,-130.99338686805066,-130.96398260583626,0.008766212827668636,0.027444513113852178
0.4,0.4,-131.00605086548683,-130.9744462438904,0.00879056327015708,0.02567840707865345
0.41000000000000003,0.41000000000000003,-131.00631146704103,-130.97522300840683,0.009228148437270942,0.022367439566458206
0.42000000000000004,0.42000000000000004,-131.00283640282186,-130.97020989352797,0.008308652611909707,0.014681445705397353
0.43000000000000005,0.43000000000000005,-131.00040058802847,-130.97678439132994,0.008371243691145912,0.00852514728227554
0.43999999999999995,0.43999999999999995,-130.99214382965104,-130.97650376537558,0.008192623987037722,0.009107522083829383
0.44999999999999996,0.44999999999999996,-130.99515128947584,-130.98357560129918,0.007845025921783001,0.010420193286645231
0.45999999999999996,0.45999999999999996,-131.00290842951958,-131.0000837642182,0.008089744803359158,0.01319565821037725
0.47,0.47,-131.0362034333811,-131.02101731783094,0.013106978564264824,0.0178921047366655
0.48,0.48,-131.04942556792477,-131.03521861342043,0.019021124479209464,0.023529396574235955
0.49,0.49,-131.05868909377907,-131.04129328867472,0.02385767105815089,0.027272340887387062
0.5,0.5,-131.08397436686627,-131.04260576992004,0.03195653306198078,0.02984017889049912
0.51,0.51,-131.09918089469232,-131.04745669694316,0.0392850698118347,0.03127853435372338
0.52,0.52,-131.10018734041452,-131.04483026055075,0.04310624361747853,0.029733183371245565
0.53,0.53,-131.09755671061745,-131.05063797161168,0.04367704247872964,0.027758193881242895
0.54,0.54,-131.092020758762,-131.05586850768765,0.03983575226622628,0.023601623979834604
0.55,0.55,-131.10134580198536,-131.07182087794348,0.03388455362092594,0.019521255791404474
0.56,0.56,-131.09806046181157,-131.06939828014853,0.024278883053233846,0.015165896866542738
0.5700000000000001,0.5700000000000001,-131.09973927087125,-131.07317114939934,0.01874238571403363,0.013751847707667377
0.5800000000000001,0.5800000000000001,-131.1025080729388,-131.07100061158656,0.013334589625893723,0.013188206655656879
0.5900000000000001,0.5900000000000001,-131.10228061096487,-131.06025594953257,0.005683554235794253,0.01202113898028291
0.6,0.6,-131.1071677442818,-131.06511749803107,0.003927862039144598,0.010707447269561644
0.61,0.61,-131.1128573956883,-131.06699134607555,0.005623952146694436,0.009706168672307919
0.62,0.62,-131.12353201967485,-131.0679530490708,0.008943065138998604,0.0074012861245608165
0.63,0.63,-131.12595766427916,-131.06000792811886,0.011037395310103518,0.005761300951607003
0.64,0.64,-131.12636296736767,-131.05430269525016,0.011353611129676701,0.006084263375421408
0.65,0.65,-131.13101906074317,-131.05378305647935,0.012649600651879934,0.006799257060984082
0.6599999999999999,0.6599999999999999,-131.14500915583636,-131.0619788700306,0.01500341824786543,0.006569696839925482
0.6699999999999999,0.6699999999999999,-131.14310453993292,-131.05664912378074,0.015511932707171976,0.005898277228341194
0.6799999999999999,0.6799999999999999,-131.14414569240543,-131.04936513190495,0.015291173000689847,0.006114154786236903
0.69,0.69,-131.13728910942686,-131.04357042957426,0.013066472890594866,0.007933561290435938
0.7,0.7,-131.14156652231122,-131.04857851303308,0.010827919130028733,0.008002050585812763
0.71,0.71,-131.13470921025575,-131.03702375682366,0.008171441197421123,0.009097240386995033
0.72,0.72,-131.1250948355257,-131.01529338178668,0.007933493556660039,0.013741921967773262
0.73,0.73,-131.13070606939843,-131.01094499546582,0.007429952055996657,0.01729853850918545
0.74,0.74,-131.14033747138637,-131.01354081468435,0.006716688603484969,0.019088219654657908
0.75,0.75,-131.1644601240523,-131.01875439333446,0.01050153128912394,0.019301660726464883
0.76,0.76,-131.16608766901618,-131.00300897151513,0.01323508625432568,0.01934490249909739
0.77,0.77,-131.1801070965186,-131.01270175615474,0.01774825941915286,0.01743303930752794
0.78,0.78,-131.18779812718398,-131.0207383372127,0.02198175383551321,0.015252246791208115
0.79,0.79,-131.19496814855893,-131.02515283400146,0.02534773547826021,0.013415255606122707
0.8,0.8,-131.1944684252565,-131.02286101737266,0.027309874390294035,0.009276906419835355
0.81,0.81,-131.19026890563882,-131.01884629857486,0.026816560823299838,0.006501226228985482
0.8200000000000001,0.8200000000000001,-131.18600655643363,-131.01679657069852,0.02274004796441834,0.006495714184287037
0.83,0.83,-131.18618967814635,-131.01854630280928,0.01723542115194388,0.006234443274837271
0.84,0.84,-131.1789563357727,-131.00918589148856,0.010668022763602519,0.006648620744833987
0.85,0.85,-131.17666540285643,-131.00838308676953,0.008865948277957355,0.00708037985031423
0.86,0.86,-131.18052156246407,-131.0063434576304,0.006441895810334755,0.006472817343754149
0.87,0.87,-131.18351523722194,-131.00714082018538,0.0062050948437001735,0.007000763643653417
0.88,0.88,-131.18228614228096,-131.0114478918262,0.006265804707912973,0.006827853892952312
0.89,0.89,-131.1770084281179,-131.00233469777137,0.005767773418027353,0.006672257816644587
0.9,0.9,-131.1757988641717,-130.9931900496781,0.004794227370638501,0.00788584679564996
0.91,0.91,-131.1728245264615,-130.9811137684543,0.004503532879789111,0.011129106823248058
0.92,0.92,-131.17308193678957,-130.98061541507516,0.004435026107689258,0.012787542304273213
0.9299999999999999,0.9299999999999999,-131.17380807873982,-130.97528516013676,0.003788201069048555,0.013783017713273301
0.94,0.94,-131.17512295400485,-130.9710305549175,0.00381233593933442,0.015378700112710187
0.95,0.95,-131.17919152248027,-130.96788681947004,0.003866350006180394,0.016378644753365302
0.96,0.96,-131.19069900596114,-130.96541811375468,0.0057058514275383386,0.016847198622500607
0.97,0.97,-131.19423005547483,-130.96053712162097,0.007508338860283134,0.01665466520179745
0.98,0.98,-131.2077633315862,-130.96543054815805,0.011730084431995367,0.013289424685109675
0.99,0.99,-131.21752815447786,-130.97511663837585,0.01603926582576873,0.009650176291420044
1.0,1.0,-131.2438350780377,-130.99619751766676,0.023787494083635653,0.010351234180638763
