time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,-12.512116144308367,0.04276505358903549,0.060679192557789356
0.02,0.02,-12.486956706290261,0.02735250250268957,0.060679192557789356
0.03,0.03,-12.480609165966404,0.021455752539499297,0.060679192557789356
0.04,0.04,-12.496602999868905,0.019106907960595918,0.060679192557789356
0.05,0.05,-12.542574175505038,0.017160759026422945,0.060679192557789356
0.06,0.06,-12.598567717218248,0.015740219836745714,0.060679192557789356
0.07,0.07,-12.597379149678833,0.014597952444786408,0.060679192557789356
0.08,0.08,-12.596194402446242,0.013615739867811808,0.060679192557789356
0.09,0.09,-12.607613794567973,0.012893401736149291,0.060679192557789356
0.1,0.1,-12.631335819971211,0.012297310572786458,0.060679192557789356
0.11,0.11,-12.638827212715233,0.011794013759633631,0.060679192557789356
0.12,0.12,-12.661049200444063,0.011410677082279398,0.05991962415218897
0.13,0.13,-12.670208912058802,0.01108586944744678,0.052760444347658496
0.14,0.14,-12.668265039785286,0.010633919893093067,0.040400690253354535
0.15,0.15,-12.660945064032823,0.010252185571492808,0.031066344614086906
0.16,0.16,-12.659191949933,0.009931498984954733,0.029466143111448267
0.17,0.17,-12.652141339838295,0.009685587870047797,0.025698517584857247
0.18,0.18,-12.645180512872512,0.009429808226939597,0.01933109766277926
0.19,0.19,-12.641827819258767,0.009247050607724938,0.013132742809022546
0.2,0.2,-12.632422461518162,0.009005637432899227,0.012937559198304159
0.21,0.21,-12.625187878326686,0.008758933618324014,0.01513138516256984
0.22,0.22,-12.61941447391011,0.008495240116495755,0.01775576215558734
0.23,0.23,-12.61894470736378,0.008292306563224145,0.01786403046032067
0.24,0.24,-12.610056754972911,0.0080936580047961,0.017965409826875226
0.25,0.25,-12.608634689336608,0.00796692670777962,0.01768035519100542
0.26,0.26,-12.600698566033888,0.00782434621903139,0.017093612189575783
0.27,0.27,-12.603557245832063,0.00766663217292742,0.015494218530796203
0.28,0.28,-12.603701095863627,0.007508099111135639,0.013619157796776511
0.29,0.29,-12.602233351810268,0.007371613608357999,0.01090468943997103
0.3,0.3,-12.609495332768008,0.0072808004800872204,0.008360530938333728
0.31,0.31,-12.60835898895215,0.007151596263677021,0.006491554308415855
0.32,0.32,-12.610635496569744,0.007021822577433659,0.005345374120020416
0.33,0.33,-12.607682266545373,0.006914657709231928,0.003597679018097901
0.34,0.34,-12.5996502556013,0.006795753455382948,0.003944624594320182
0.35,0.35,-12.599837321838303,0.006723128934422034,0.004135486842766039
