time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-0.14865238412488507,-0.16526747308316717,0.03253277157120332,0.01880543446554032
0.02,0.02,-0.24134667041472366,-0.19054054670233112,0.03253277157120332,0.01880543446554032
0.03,0.03,-0.34262610293556695,-0.22479222311533756,0.03253277157120332,0.01880543446554032
0.04,0.04,-0.35392353069336474,-0.2401982087394057,0.03253277157120332,0.01880543446554032
0.05,0.05,-0.34362365011160917,-0.23505539320005922,0.03253277157120332,0.01880543446554032
0.06,0.06,-0.3109913699253747,-0.20328924840312915,0.03253277157120332,0.01880543446554032
0.07,0.07,-0.31646418465337867,-0.20487548193398922,0.03253277157120332,0.01880543446554032
0.08,0.08,-0.2883661164721941,-0.18417388602635237,0.03253277157120332,0.01880543446554032
0.09,0.09,-0.30653231293548416,-0.1947546886034204,0.03253277157120332,0.01880543446554032
0.1,0.1,-0.3049404517336132,-0.20123432849922795,0.03253277157120332,0.01880543446554032
0.11,0.11,-0.2979965040530825,-0.20515797721565526,0.03253277157120332,0.01880543446554032
0.12,0.12,-0.2916448351838723,-0.2011866491217263,0.023160209690803648,0.017964113707256705
0.13,0.13,-0.299577311570932,-0.2087553785776187,0.021546082408564333,0.01714145255321114
0.14,0.14,-0.3113140078579728,-0.21567119135486312,0.015594928610368177,0.013333169103104016
0.15,0.15,-0.3006300095243484,-0.2088142418203886,0.008917713090199227,0.008590206835271966
0.16,0.16,-0.2946057567847171,-0.19748281634643772,0.008758657274168108,0.008747606308250415
0.17,0.17,-0.2965444862384078,-0.19424162129721861,0.006989758753495442,0.009029470464518035
0.18,0.18,-0.30018162186110897,-0.19356813661661024,0.005859292511675394,0.007410984254364334
0.19,0.19,-0.2957557777806181,-0.1916206401739995,0.005590283856070556,0.00781097517196518
0.2,0.2,-0.29401510327834607,-0.19281430529992433,0.0054350447773491425,0.008313211593381992
0.21,0.21,-0.3016009551221298,-0.19486357993239178,0.005536665156794359,0.008368859348293178
