time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-0.5488163032680727,-0.85388480616224,0.07232444548879859,0.07800243506804089
0.02,0.02,-0.2722007340568416,-0.6817315789354642,0.07232444548879859,0.07800243506804089
0.03,0.03,-0.44785522985455845,-0.7733019882747708,0.07232444548879859,0.07800243506804089
0.04,0.04,-0.49185320904566765,-0.8145534647131177,0.07232444548879859,0.07800243506804089
0.05,0.05,-0.4116984584114108,-0.7037692842787358,0.07232444548879859,0.07800243506804089
0.06,0.06,-0.3100349597430095,-0.6169616159074814,0.07232444548879859,0.07800243506804089
0.07,0.07,-0.35564147390993944,-0.6429259889644671,0.07232444548879859,0.07800243506804089
0.08,0.08,-0.4215715042699521,-0.655106049338509,0.07232444548879859,0.07800243506804089
0.09,0.09,-0.4758846746991613,-0.6525491331888222,0.07232444548879859,0.07800243506804089
0.1,0.1,-0.45318677572078164,-0.5918808720154056,0.07232444548879859,0.07800243506804089
0.11,0.11,-0.37205178872077205,-0.5616371681172001,0.07232444548879859,0.07800243506804089
0.12,0.12,-0.36436219089677563,-0.5528500450971062,0.05863698065165206,0.08598510884392896
0.13,0.13,-0.3296296499779618,-0.4670714032312629,0.06206734918494532,0.0939482873119764
0.14,0.14,-0.29455764537692414,-0.42071249752786066,0.0604648039853453,0.08848180172931094
0.15,0.15,-0.2739754252219115,-0.3820605853902169,0.06743730065588235,0.09898645357921894
0.16,0.16,-0.27485486762205563,-0.3901523846526855,0.07142800254338852,0.10857298885302864
0.17,0.17,-0.33801367929047316,-0.4640091538823262,0.0718071268761038,0.10279463025164053
0.18,0.18,-0.35479521908344136,-0.4945251583391014,0.06845190611370376,0.09001670371189166
0.19,0.19,-0.3735342528015577,-0.4978037555748675,0.054233320503012786,0.07193213133154226
0.2,0.2,-0.3633543834350338,-0.48044542974583604,0.03932600030947908,0.06084146161830063
0.21,0.21,-0.3344368470109085,-0.43712585852126684,0.03700303407568677,0.05241794784816801
0.22,0.22,-0.3318324255021368,-0.42814865177781664,0.03503910655280337,0.0411458149636083
0.23,0.23,-0.288746643654187,-0.39286011846022045,0.03701442495055623,0.04358441787713508
0.24,0.24,-0.283085602706333,-0.3528896888553181,0.038147787905878514,0.0513027205606265
0.25,0.25,-0.28540235561510197,-0.36479979569564375,0.0367044609188205,0.053416521400716614
0.26,0.26,-0.29051078497210014,-0.36524865338902185,0.03471171394165237,0.056012453496452876
0.27,0.27,-0.28081388829335474,-0.37475581418463444,0.03686020216978778,0.056705825391669996
0.28,0.28,-0.25751610915920026,-0.36767354423235316,0.039033981025029196,0.05188206044503116
0.29,0.29,-0.24669746279390864,-0.3958609422346103,0.03621171537335715,0.04068452845757846
0.3,0.3,-0.27733506154295007,-0.4240148102406339,0.02771814222046588,0.03024028564483606
0.31,0.31,-0.3419544536323867,-0.45924174051517525,0.029191240170361392,0.034544647115577955
0.32,0.32,-0.3654125583378338,-0.49160748740946647,0.035903666102217804,0.045804527217359794
0.33,0.33,-0.4486551168817748,-0.5967667011431782,0.061151528379047256,0.07734582331468301
0.34,0.34,-0.505193659112262,-0.6437004737602534,0.08634763832250877,0.10074044201197357
0.35,0.35,-0.5513832795660939,-0.7220879196927378,0.10907556305031546,0.127589583542107
0.36,0.36,-0.5724325744377892,-0.7601053812520905,0.1253328821965894,0.14643063231922362
0.37,0.37,-0.5487618589589817,-0.7418012114048556,0.12922771332579147,0.15091421759952112
0.38,0.38,-0.5450636542329887,-0.7371800642167304,0.12298978867542172,0.14357125176938343
