time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.010000000000000009,0.010000000000000009,-12.861039386088416,0.047401946112397446,0.019938507842320843
0.020000000000000018,0.020000000000000018,-12.91595079672946,0.03154306898002229,0.019938507842320843
0.030000000000000027,0.030000000000000027,-12.882441951209719,0.02530062093023376,0.019938507842320843
0.040000000000000036,0.040000000000000036,-12.870358124889586,0.022333482513154545,0.019938507842320843
0.050000000000000044,0.050000000000000044,-12.86214057507998,0.020169719866937438,0.019938507842320843
0.06000000000000005,0.06000000000000005,-12.840107630308449,0.018808448190310068,0.019938507842320843
0.06999999999999995,0.06999999999999995,-12.85506275804785,0.017532952748407937,0.019938507842320843
0.07999999999999996,0.07999999999999996,-12.86563052493518,0.016170612757846283,0.019938507842320843
0.08999999999999997,0.08999999999999997,-12.864350660916422,0.015314677437211219,0.019938507842320843
0.09999999999999998,0.09999999999999998,-12.867243252960892,0.01458716749351228,0.019938507842320843
0.10999999999999999,0.10999999999999999,-12.859858615409493,0.013710692810511318,0.019938507842320843
0.12,0.12,-12.847601424515654,0.013112123597281962,0.011881574996125823
0.13,0.13,-12.841477095019586,0.012584071135244587,0.010869992158371295
0.14,0.14,-12.852126586975533,0.01209501342223518,0.009941216639036556
0.15000000000000002,0.15000000000000002,-12.85177592099295,0.01169512432365674,0.00971665785565786
0.16000000000000003,0.16000000000000003,-12.85521317169322,0.011310812336063729,0.008297008630443277
0.17000000000000004,0.17000000000000004,-12.853838820608935,0.010900924172799472,0.008321917995227858
0.18000000000000005,0.18000000000000005,-12.846645787463721,0.010567145042843538,0.00801834637655227
0.18999999999999995,0.18999999999999995,-12.854887227006195,0.010312618523863218,0.007177037602351164
0.19999999999999996,0.19999999999999996,-12.852115508817503,0.010072763682516146,0.005170824093314604
0.20999999999999996,0.20999999999999996,-12.847957375146196,0.009832404283639753,0.004351785007594163
0.21999999999999997,0.21999999999999997,-12.857230064650237,0.009631492360309418,0.004722103195938573
0.22999999999999998,0.22999999999999998,-12.863946900947672,0.00945386766274798,0.004858524625980565
