time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,-15.031830816781895,0.052853751760029426,0.015454304282649888
0.02,0.02,-15.124777169305117,0.0359803814274241,0.015454304282649888
0.03,0.03,-15.116898637438288,0.028808618657231784,0.015454304282649888
0.04,0.04,-15.100167367520369,0.025063842256386783,0.015454304282649888
0.05,0.05,-15.092270245523977,0.02226889301712732,0.015454304282649888
0.06,0.06,-15.085163281041226,0.020278226786629567,0.015454304282649888
0.07,0.07,-15.075450412360178,0.01883424354121016,0.015454304282649888
0.08,0.08,-15.079804623185073,0.017527862610767546,0.015454304282649888
0.09,0.09,-15.091486946996179,0.016411304702281693,0.015454304282649888
0.1,0.1,-15.100263795225256,0.01585406734192957,0.015454304282649888
0.11,0.11,-15.092397279666178,0.01493501744368756,0.015454304282649888
0.12,0.12,-15.080441011846155,0.014275840488828503,0.01227101350501692
0.13,0.13,-15.087322817518615,0.013639984075488965,0.008407684318804313
0.14,0.14,-15.086948994084576,0.013215862612366878,0.007336318358433498
0.15,0.15,-15.098833577538407,0.012748154955554147,0.008098769352104533
0.16,0.16,-15.094543261512852,0.012271847670736032,0.008298727961263302
0.17,0.17,-15.095283916592175,0.011869340575453781,0.007042135845935895
0.18,0.18,-15.095365835082216,0.011454562232431744,0.006001439237428251
0.19,0.19,-15.101523824243205,0.011134333461689246,0.006656036544742779
0.2,0.2,-15.0881360797697,0.010902077229551957,0.006342145632585022
0.21,0.21,-15.082624079898403,0.010868216095007032,0.007006036018757349
0.22,0.22,-15.069252040987458,0.01083339427230035,0.009386830041361304
0.23,0.23,-15.075010589188174,0.0108233214339274,0.010514336899226377
0.24,0.24,-15.06931045012938,0.010813667475744452,0.012195538750332333
0.25,0.25,-15.058844891626993,0.010807260935590363,0.01426112455261827
0.26,0.26,-15.053727035253356,0.010831060443447902,0.01628435791414202
0.27,0.27,-15.046441719270957,0.010818330239763495,0.018055295465581878
0.28,0.28,-15.041105285845234,0.010806387457918063,0.019054462459442017
0.29,0.29,-15.032223899760037,0.01087619151446006,0.01833731677018495
0.3,0.3,-15.02549560152648,0.010804317702105319,0.018978835218922956
0.31,0.31,-15.035086811302628,0.01083637517723005,0.01728068928028119
0.32,0.32,-15.047970783658037,0.0107969645312298,0.01599807609365102
0.33,0.33,-15.03984834962534,0.010869837223088976,0.013137621426001288
0.34,0.34,-15.040964441895682,0.0108055760497472,0.009992346109883067
0.35,0.35,-15.03083305448622,0.010845581563970202,0.008632498411303615
0.36,0.36,-15.03910446011846,0.010891883165445803,0.007017719753389263
0.37,0.37,-15.033180861235605,0.010890686269694314,0.006456324403717293
0.38,0.38,-15.032237888972828,0.010898180948895947,0.006374374011906408
0.39,0.39,-15.023044575430331,0.010875676844534924,0.007492555108270962
0.4,0.4,-15.038341139713976,0.010846751955064942,0.00679306456911151
0.41,0.41,-15.04272864368029,0.010861162187786598,0.007094415548672538
0.42,0.42,-15.042891738652203,0.010928443754551737,0.00635066057540788
0.43,0.43,-15.041147638507644,0.010968061982054552,0.006443536740138939
0.44,0.44,-15.055259118965036,0.010995500091504865,0.008735079657098327
0.45,0.45,-15.067471143930183,0.011050531713082819,0.012376870122821609
0.46,0.46,-15.069000898893266,0.011016800147458636,0.015045961173773098
0.47,0.47,-15.073930835566214,0.011004814878135937,0.017019429871173657
0.48,0.48,-15.077393740743174,0.011121149100544256,0.01814729976801809
0.49,0.49,-15.084923985371985,0.011036239838815815,0.01728152299979041
0.5,0.5,-15.090217199569215,0.010963802130317396,0.018056774629681256
0.51,0.51,-15.08711900973523,0.011048814797499374,0.017560411304357922
0.52,0.52,-15.074348403767084,0.011081708408809468,0.015008813339503765
0.53,0.53,-15.075194565703532,0.011053493272053629,0.010350893492809621
0.54,0.54,-15.080729651342526,0.01107934067277056,0.0075848454024868344
0.55,0.55,-15.091256473149846,0.01107929699141718,0.007634023676580305
0.56,0.56,-15.082260137929495,0.011051667736115626,0.006499063063255099
0.57,0.57,-15.083012197798674,0.011114399498431108,0.005893272324746462
0.58,0.58,-15.094701109639713,0.011175906782561015,0.0066698068529639255
0.59,0.59,-15.102301288714308,0.01115732115362175,0.008763472355597948
0.6,0.6,-15.102774646297135,0.011169270167208043,0.010198899054112113
0.61,0.61,-15.100229484616811,0.011123216667245597,0.010976132528588464
0.62,0.62,-15.107088401993284,0.01111436381670984,0.011108110736866838
0.63,0.63,-15.102625619897736,0.01111784620238252,0.009821891775063938
0.64,0.64,-15.106067110568612,0.011056846989129069,0.00905645416936914
0.65,0.65,-15.105498982539343,0.010970865885228956,0.009131967564437042
0.66,0.66,-15.11034068607111,0.010972689790228501,0.007741641298793035
0.67,0.67,-15.118168766908456,0.01095118682035823,0.006275013994168651
0.68,0.68,-15.120610052055008,0.010839845002362495,0.006879260614190881
0.69,0.69,-15.116023590084723,0.010903471766443113,0.007077177085128733
0.7,0.7,-15.113447743173847,0.010999055343757847,0.006844594130465851
0.71,0.71,-15.116261296816146,0.010903652544727386,0.006140513421221554
0.72,0.72,-15.130185650649253,0.01093305898623846,0.008235868886854358
0.73,0.73,-15.133148650012153,0.010915836454072016,0.009185121853775558
0.74,0.74,-15.132281316111035,0.010972756900303311,0.009462603098108955
0.75,0.75,-15.125369482305217,0.010949307977813544,0.00817152558731163
0.76,0.76,-15.141578829071248,0.01109215381158385,0.00929026179074371
0.77,0.77,-15.147698396851512,0.011146520308361052,0.011428059292632199
0.78,0.78,-15.141615044406024,0.011194482473570647,0.011908467322772042
0.79,0.79,-15.14630816056464,0.011304482248863603,0.011877527425057634
0.8,0.8,-15.149612194799845,0.011352810114938931,0.01078989639064391
0.81,0.81,-15.159479290547397,0.011368777178820995,0.010475332963152595
0.82,0.82,-15.164041108471269,0.011368723687552961,0.01204322912621901
0.83,0.83,-15.153398525702693,0.01139656496912582,0.01169207977076748
0.84,0.84,-15.143707519732072,0.011447833725510951,0.010704002001666735
0.85,0.85,-15.147900795404839,0.011510605662229478,0.007458708440123681
0.86,0.86,-15.153649526786904,0.011499397367033688,0.006990262678455007
0.87,0.87,-15.156169535222823,0.011555810868256416,0.007093099453671492
0.88,0.88,-15.158465688898977,0.011613295678567132,0.006431270336972559
0.89,0.89,-15.157643875921858,0.011563229852708143,0.006055223163218087
0.9,0.9,-15.16393732787744,0.011587673835632103,0.006474850068353874
0.91,0.91,-15.151472272242925,0.011667344193064824,0.006469789866767809
0.92,0.92,-15.145147056585206,0.011611211559221965,0.0063054055030869185
0.93,0.93,-15.146818700610634,0.011628713204594942,0.006612337459357953
0.94,0.94,-15.148241006371457,0.011661701842942622,0.00607693860653292
0.95,0.95,-15.150284835369478,0.011706212672658851,0.0059013065028201
0.96,0.96,-15.137414869475048,0.011757988427061787,0.007713538486445744
0.97,0.97,-15.13051171973393,0.011662121858301856,0.009952181384005294
0.98,0.98,-15.130495701212444,0.011680585430738025,0.010881383532295884
0.99,0.99,-15.135362048158015,0.011665751596135792,0.010553283089221915
1.0,1.0,-15.124750100767752,0.011673554832519242,0.009541599998282435
