time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,-8.10204420661136,0.023125483745738952,0.012759306288690122
0.02,0.02,-8.104160051834064,0.017733452042920775,0.012759306288690122
0.03,0.03,-8.104050621089522,0.014699363650839192,0.012759306288690122
0.04,0.04,-8.117721568000448,0.012985486439117943,0.012759306288690122
0.05,0.05,-8.110038832637372,0.011594149182373338,0.012759306288690122
0.06,0.06,-8.110142964913026,0.010643681523115327,0.012759306288690122
0.07,0.07,-8.100270280523988,0.009727683438031657,0.012759306288690122
0.08,0.08,-8.1016555779603,0.00919008588289332,0.012759306288690122
0.09,0.09,-8.08077553389112,0.008838515176737501,0.012759306288690122
0.1,0.1,-8.079319288561,0.008280026009053887,0.012759306288690122
0.11,0.11,-8.08930690619525,0.00783832125541171,0.012759306288690122
0.12,0.12,-8.078048415248166,0.007490221806154696,0.014330320185489982
0.13,0.13,-8.068491273997314,0.007224749062370778,0.016647558652491182
0.14,0.14,-8.078560895351979,0.0069532315805050674,0.014845288501007883
0.15,0.15,-8.081677527086583,0.006647388201211057,0.01312963803070795
0.16,0.16,-8.078007279104419,0.0064160915260867545,0.010446862627528801
0.17,0.17,-8.082477181859494,0.006201415842438074,0.008656003222566258
0.18,0.18,-8.08019706122272,0.006044866500354018,0.005142297319532181
0.19,0.19,-8.079703607747733,0.0058841257000217025,0.005128218349627864
0.2,0.2,-8.075907189831167,0.005725678989534717,0.005259253479495232
0.21,0.21,-8.078134374682785,0.005582616038799326,0.0038913628894588735
0.22,0.22,-8.078114707165213,0.005422586763145179,0.0038912829459811344
0.23,0.23,-8.080529566920857,0.005257397196199952,0.0019638161693276883
0.24,0.24,-8.078303056747268,0.005136218882523021,0.0019767001740668227
0.25,0.25,-8.076038033028833,0.00502647849631473,0.002028454316003922
0.26,0.26,-8.074086428678159,0.00494306031412946,0.0025082671598247114
0.27,0.27,-8.073222995696115,0.004836488144686732,0.0025231134075510983
0.28,0.28,-8.075405627928292,0.004733795763293746,0.00238933350387081
0.29,0.29,-8.078169982728717,0.0046597462406669996,0.0022369210884718247
0.3,0.3,-8.075388368675641,0.0045702109627688454,0.0022655360909434393
0.31,0.31,-8.071554351943059,0.004505187003034172,0.0027244133777445845
0.32,0.32,-8.067458746740408,0.004447258207909347,0.0037366181938021654
0.33,0.33,-8.06399374441965,0.004380371873987516,0.004587407881962423
0.34,0.34,-8.063613245356995,0.004318687202712046,0.0051472521899299075
0.35,0.35,-8.063197487180906,0.004265209407330529,0.005581660898172941
0.36,0.36,-8.061812163403662,0.004213029856663916,0.006061013067898095
0.37,0.37,-8.057627494027326,0.004162823978351781,0.006909782606665165
0.38,0.38,-8.053606569870096,0.004125921461862249,0.007650405180984641
0.39,0.39,-8.054271801135645,0.004069835542446691,0.0070078317657228046
0.4,0.4,-8.053556870865641,0.0040120716947965665,0.0061558224956308845
0.41,0.41,-8.053469193425581,0.0039622568459238335,0.005335035833126589
0.42,0.42,-8.050024078448157,0.0039401669363364495,0.005205499345359736
0.43,0.43,-8.04858443550643,0.0038875755535826588,0.005353928797608915
0.44,0.44,-8.046656792084804,0.003841473009199444,0.005351638328196048
0.45,0.45,-8.044869776618626,0.003792839230985537,0.005090576969219179
0.46,0.46,-8.041328698370723,0.003753597158935296,0.005024567037424662
0.47,0.47,-8.039392540238026,0.0037080072438264835,0.005404493680118358
0.48,0.48,-8.03628567400707,0.003669329511083342,0.00631245439818969
0.49,0.49,-8.030401468979191,0.0036536757109259855,0.007577953261288706
0.5,0.5,-8.028160644544373,0.00362177474049324,0.008400348579154143
0.51,0.51,-8.024849764338182,0.003598036819703378,0.008888455658098994
0.52,0.52,-8.02337073564786,0.003567659604606772,0.009223748576960171
0.53,0.53,-8.022810261771141,0.0035419970836679583,0.009036806244830728
0.54,0.54,-8.022274337769863,0.0035162447058608086,0.008456978446847905
0.55,0.55,-8.022799974559975,0.0034799886653651686,0.007351280266436177
0.56,0.56,-8.022172115250557,0.0034484700180542286,0.006242432227018518
0.57,0.57,-8.023789842240983,0.003425152130349849,0.004606195026632306
0.58,0.58,-8.023937500477821,0.003395390049960282,0.002719172655155525
0.59,0.59,-8.021889493275197,0.0033680459968494676,0.0018423835741066918
0.6,0.6,-8.020649201657118,0.0033468691503658805,0.0011970834841741186
0.61,0.61,-8.020623144460092,0.0033163334445166564,0.0011598379796148748
0.62,0.62,-8.019673420110927,0.0032870578222115704,0.0013930794227945068
0.63,0.63,-8.021439823316987,0.003264841881410727,0.0013786159050956915
0.64,0.64,-8.020769657126024,0.00324189183790169,0.0014177942603159114
0.65,0.65,-8.021504597603728,0.0032242161340839417,0.0013721232441628137
0.66,0.66,-8.021611781596919,0.0031977048458570073,0.0013595841025408528
0.67,0.67,-8.021156081280807,0.0031684962709662874,0.0011197942538967998
0.68,0.68,-8.024223029290267,0.0031506792645072156,0.0011949173119277278
0.69,0.69,-8.02442610320743,0.0031222369980145126,0.001540488954649941
0.7,0.7,-8.027354771687575,0.0031059162969118517,0.002332662236524037
