time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-13.654785703948567,-12.909943895347693,0.017471919527783337,0.017174714996889405
0.02,0.02,-13.62105963517643,-12.84961047192873,0.017471919527783337,0.017174714996889405
0.03,0.03,-13.598973516591585,-12.845586957996163,0.017471919527783337,0.017174714996889405
0.04,0.04,-13.609537151578353,-12.83311085885237,0.017471919527783337,0.017174714996889405
0.05,0.05,-13.606879997807486,-12.825286751103665,0.017471919527783337,0.017174714996889405
0.06,0.06,-13.587582340674519,-12.8116128200777,0.017471919527783337,0.017174714996889405
0.07,0.07,-13.572338296413344,-12.796931546602853,0.017471919527783337,0.017174714996889405
0.08,0.08,-13.577864412972815,-12.81300089612494,0.017471919527783337,0.017174714996889405
0.09,0.09,-13.567830409647087,-12.817255167915896,0.017471919527783337,0.017174714996889405
0.1,0.1,-13.582021081711071,-12.837082043609987,0.017471919527783337,0.017174714996889405
0.11,0.11,-13.585119380135136,-12.84198343173566,0.017471919527783337,0.017174714996889405
0.12,0.12,-13.57555828919113,-12.840715068035392,0.014406848980582927,0.016077221592493064
0.13,0.13,-13.576916904156546,-12.843246016194161,0.01394393602203665,0.0157787578524948
0.14,0.14,-13.568503568773465,-12.841157554156796,0.011465139346670743,0.01637434829989006
0.15,0.15,-13.564908502597733,-12.84459140596165,0.007581138678951885,0.017285200223015818
0.16,0.16,-13.56320337016696,-12.838315799504924,0.007309180893005302,0.01638127105950137
0.17,0.17,-13.559017511662697,-12.834703930838504,0.008624934562308062,0.011021058544633101
0.18,0.18,-13.559527774107618,-12.832760998183433,0.009192431568695326,0.007937765865252229
0.19,0.19,-13.557980039665685,-12.829823463570493,0.009976149903063846,0.004811651774613948
0.2,0.2,-13.557299596465876,-12.832568465332042,0.009519432538228406,0.005152596493572501
0.21,0.21,-13.548176378839278,-12.825250263739525,0.008759728177757909,0.006299765504873396
0.22,0.22,-13.541334358964216,-12.827640213809959,0.009958978302916047,0.006632705158666365
0.23,0.23,-13.542547322684925,-12.833053673470395,0.009257967481498111,0.005976402451880785
0.24,0.24,-13.538150885928882,-12.837549570487798,0.009756362802939173,0.005591926024420598
0.25,0.25,-13.542113429053055,-12.845206922945732,0.00937612486003081,0.005727776036369153
0.26,0.26,-13.54717772647972,-12.851448468587616,0.008360819126939902,0.007972559704712966
0.27,0.27,-13.553129020903969,-12.858113579168394,0.007790852072050483,0.010808310280616516
0.28,0.28,-13.548804840144834,-12.857641222148107,0.006818966484386873,0.012385332841724099
0.29,0.29,-13.556446974737218,-12.863547947890984,0.006574295431020139,0.013861507292421617
0.3,0.3,-13.543230396031502,-12.849629344808411,0.005695060483251761,0.013451157252564646
0.31,0.31,-13.543105355573957,-12.850873062847784,0.005716461209667292,0.011604113704204194
0.32,0.32,-13.544182534645417,-12.84689771377635,0.005548580405937732,0.009320858476670996
0.33,0.33,-13.54229724425532,-12.848417355662741,0.005565850969229869,0.007395064660686925
