time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,-128.380051026496,-128.12788193154876,0.04563457463169459,0.04128895772448791
0.02,0.02,-128.25459285915312,-128.1112573445244,0.04563457463169459,0.04128895772448791
0.03,0.03,-128.16661690657224,-128.04946751292903,0.04563457463169459,0.04128895772448791
0.04,0.04,-128.3333006778329,-128.18067202466892,0.04563457463169459,0.04128895772448791
0.05,0.05,-128.30174888275445,-128.15317024376898,0.04563457463169459,0.04128895772448791
0.06,0.06,-128.2966245741928,-128.15427591747408,0.04563457463169459,0.04128895772448791
0.07,0.07,-128.29514599801135,-128.12571151461628,0.04563457463169459,0.04128895772448791
0.08,0.08,-128.27334106665995,-128.08711032273428,0.04563457463169459,0.04128895772448791
0.09,0.09,-128.24252621203647,-128.0712856642284,0.04563457463169459,0.04128895772448791
0.1,0.1,-128.24590680722767,-128.0841638992959,0.04563457463169459,0.04128895772448791
0.11,0.11,-128.25442702866184,-128.11491962961617,0.04563457463169459,0.04128895772448791
0.12,0.12,-128.2423022844867,-128.1098487499544,0.04615118027685004,0.0412987360873667
0.13,0.13,-128.23971221376723,-128.11595035594735,0.03260361644315195,0.0347567492066075
0.14,0.14,-128.20031041250502,-128.09230133527956,0.0321694922097328,0.02813925728303213
0.15,0.15,-128.1669803194869,-128.06627102085156,0.03971134376145847,0.02702185346465275
0.16,0.16,-128.155312051528,-128.04198835180512,0.04444783439930969,0.02629044572881487
0.17,0.17,-128.13140793002282,-128.02422926602694,0.048417932143968084,0.03061435493821696
0.18,0.18,-128.12010987041248,-128.01659177423818,0.05208899499104083,0.036547846149049316
0.19,0.19,-128.10037657933896,-128.0110707621968,0.05820127684982829,0.04160974605293318
0.2,0.2,-128.10277861070017,-128.01760929492937,0.059333898883673464,0.04394676958031088
0.21,0.21,-128.0694494107322,-127.98043988088315,0.05939781950720979,0.046160332235094956
0.22,0.22,-128.05110161264244,-127.95982738234638,0.05817342616678297,0.04803297011460444
0.23,0.23,-128.03846224686856,-127.95414003026902,0.051919283549323576,0.04392413355915052
0.24,0.24,-127.98653342653853,-127.9118321885623,0.056105084658821885,0.04630502774864813
0.25,0.25,-127.96568129537842,-127.88445056591802,0.06210510518738239,0.052035809128209105
0.26,0.26,-127.96014744874238,-127.8617299996688,0.06370236185579815,0.059014153919804496
0.27,0.27,-127.93933503610195,-127.84424542937661,0.06620913094077482,0.06512161911352723
0.28,0.28,-127.92448443211809,-127.83507794550775,0.06664078845194628,0.06793581807856476
0.29,0.29,-127.92747455582892,-127.8384783103528,0.06407298441624618,0.06582492977177432
0.3,0.3,-127.90277314923514,-127.80728454930467,0.05817159530584723,0.06058186271791919
0.31,0.31,-127.86317893979427,-127.76928422987577,0.058138712636949544,0.06147788933616061
0.32,0.32,-127.8368804894422,-127.7500342045706,0.05863407464841792,0.06193671680912286
0.33,0.33,-127.8203678092158,-127.73123654021502,0.0561752671591069,0.058575430798584335
0.34,0.34,-127.8644247191049,-127.74501058736148,0.05140851365274241,0.05417039775744129
0.35,0.35,-127.91310680414091,-127.76389240451014,0.04644804617978746,0.048004350056907084
0.36,0.36,-127.91809083015,-127.7860452951934,0.04156279108098345,0.04181684648501601
0.37,0.37,-127.92554828253759,-127.78148297348442,0.039980291031021,0.0366738224932007
0.38,0.38,-127.93605765468058,-127.79423899377774,0.041248630017701064,0.03192184865816192
0.39,0.39,-127.94419107970192,-127.79701802226276,0.04319337520227614,0.02493393019768832
0.4,0.4,-127.92450648240151,-127.77900042013151,0.04430237676210665,0.021986321371346297
0.41,0.41,-127.93623236978257,-127.79715405799723,0.044561364933598545,0.023629328374463472
0.42,0.42,-127.9541208583609,-127.81675058060239,0.04080693833839382,0.02588840670610655
0.43,0.43,-127.9861987066875,-127.81756544854179,0.031258320199540154,0.022263497463732733
0.44,0.44,-128.00188845598305,-127.83656887370265,0.029257148778250197,0.021518053161337317
0.45,0.45,-128.03585121543605,-127.87145746021497,0.03898845908722706,0.028798345940558284
0.46,0.46,-128.04107076854,-127.8895055885705,0.04459990061363766,0.037433035981141685
0.47,0.47,-128.0678927725279,-127.93022574760718,0.05152268251873955,0.049032514902685384
0.48,0.48,-128.0871967663553,-127.95167469931697,0.05804261165811183,0.05940124013265226
0.49,0.49,-128.08561345555466,-127.94489229153805,0.06066780987527616,0.06338082039270272
0.5,0.5,-128.11475743341092,-127.98741697107103,0.05998881506469289,0.06669514763314875
0.51,0.51,-128.14483272020252,-127.98879790985356,0.05960906702492342,0.0663984026630759
0.52,0.52,-128.16763651551616,-128.0142533396763,0.05891272715042705,0.0671023616158004
0.53,0.53,-128.18412803196156,-128.02350018212496,0.0596447097633502,0.06251252364324832
0.54,0.54,-128.15629542969066,-128.01571190065616,0.05303191911350596,0.05335772884325188
0.55,0.55,-128.1191520112191,-128.00175379519513,0.04648607178186129,0.043938009204110465
0.56,0.56,-128.1154545006562,-127.97259756172622,0.038229753022825094,0.0323499459816531
0.57,0.57,-128.09856191250222,-127.96794718253551,0.034222292843308307,0.02730817231557872
0.58,0.58,-128.08109345084696,-127.95369717298848,0.035062335381900483,0.02702469458807034
0.59,0.59,-128.0784705425228,-127.93354966840154,0.03605232499909967,0.02914582036657946
0.6,0.6,-128.10432470404504,-127.93832638918464,0.03656237959165814,0.03277445502450736
0.61,0.61,-128.10513282087166,-127.94497762707189,0.036323591649677925,0.034501932955408265
0.62,0.62,-128.10468378858687,-127.92494214867779,0.03261343624365731,0.035232851639122875
0.63,0.63,-128.10651450527516,-127.94155670262643,0.021658213735145315,0.029945473165925725
0.64,0.64,-128.10709591724716,-127.92967568331545,0.01310852951937466,0.02371381755822618
0.65,0.65,-128.06641514955615,-127.90431455491849,0.01579585353462454,0.020265535383936023
0.66,0.66,-128.0479085657925,-127.89026431781751,0.02062442897339568,0.022657226248019274
0.67,0.67,-128.01490346088278,-127.85162761571782,0.031087658984688706,0.031001559182638975
0.68,0.68,-128.01024363984197,-127.84035332924786,0.03843490860250657,0.037810095451422616
0.69,0.69,-128.0021181297767,-127.8633572295771,0.044654431805370015,0.03942490728330857
0.7,0.7,-127.9891930657566,-127.84954500916106,0.04860982858363649,0.04055099235883767
0.71,0.71,-127.97408790266685,-127.86920310932572,0.05130815873658071,0.03689436093524879
0.72,0.72,-127.96058466085337,-127.87152953521591,0.0520754561012189,0.034496469559000695
0.73,0.73,-127.95026526486092,-127.87906246702264,0.04923214675554447,0.027231479949746663
0.74,0.74,-127.96835374735006,-127.88805775033029,0.03775534435115364,0.020201672815522903
0.75,0.75,-127.96752666710192,-127.89925145855659,0.030147523485095314,0.019310248120125096
0.76,0.76,-127.96923034957885,-127.91023578949691,0.02212511610045293,0.02239882664120033
0.77,0.77,-127.98119812210206,-127.91568243297765,0.018616388145540858,0.024876815016957113
0.78,0.78,-127.9979027277187,-127.91721582601878,0.016474217328905878,0.023577338279663063
0.79,0.79,-128.03254299856653,-127.93791001581396,0.02324311673607704,0.027043858634018262
0.8,0.8,-128.01021268781696,-127.92344324834937,0.025132118710535587,0.023478091729378682
0.81,0.81,-128.01186987943782,-127.92219741241645,0.026734578530845547,0.02134782331970866
0.82,0.82,-127.98872902208473,-127.91850348648178,0.025326724488738656,0.017657076509372434
0.83,0.83,-127.97046497518761,-127.91277939301901,0.022667920403106646,0.013601100252269812
0.84,0.84,-127.95066675377846,-127.92379147972841,0.02508830638818526,0.010123570535400184
0.85,0.85,-127.95200884009527,-127.93044779264197,0.026911381706723875,0.008314603527025718
