time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.010000000000000009,0.010000000000000009,-127.88293975482084,-127.92709581119476,0.03690769338263777,0.030391455577878985
0.020000000000000018,0.020000000000000018,-127.8881767490669,-127.84094885883646,0.03690769338263777,0.030391455577878985
0.030000000000000027,0.030000000000000027,-127.82150645686772,-127.81736501655605,0.03690769338263777,0.030391455577878985
0.040000000000000036,0.040000000000000036,-127.83273921658869,-127.82838319685808,0.03690769338263777,0.030391455577878985
0.050000000000000044,0.050000000000000044,-127.76446479588293,-127.7808548612988,0.03690769338263777,0.030391455577878985
0.06000000000000005,0.06000000000000005,-127.77620588693722,-127.81921641321789,0.03690769338263777,0.030391455577878985
0.06999999999999995,0.06999999999999995,-127.86412315824118,-127.89358378819763,0.03690769338263777,0.030391455577878985
0.07999999999999996,0.07999999999999996,-127.80966109429953,-127.86158074002562,0.03690769338263777,0.030391455577878985
0.08999999999999997,0.08999999999999997,-127.80141258304154,-127.85095713299204,0.03690769338263777,0.030391455577878985
0.09999999999999998,0.09999999999999998,-127.82520458107277,-127.84876109366218,0.03690769338263777,0.030391455577878985
0.10999999999999999,0.10999999999999999,-127.82509313981738,-127.8542267461012,0.03690769338263777,0.030391455577878985
0.12,0.12,-127.82114713733398,-127.86208804001426,0.028438385504081103,0.031220519631311398
0.13,0.13,-127.8177265308261,-127.8709921734105,0.028354825469648556,0.031181472028105468
0.14,0.14,-127.80301605597187,-127.85461610349455,0.02769656832308889,0.030531916163684714
0.15000000000000002,0.15000000000000002,-127.80298454604493,-127.85587484388259,0.02277725156842679,0.018640758932217658
0.16000000000000003,0.16000000000000003,-127.79514380673166,-127.85055226237635,0.019820368264166065,0.013462673075406668
0.17000000000000004,0.17000000000000004,-127.79323018761906,-127.86127259029537,0.012082259919238994,0.006842930925271342
0.18000000000000005,0.18000000000000005,-127.80858093206345,-127.87245268331843,0.012085109924901204,0.008336062680902383
0.18999999999999995,0.18999999999999995,-127.79703675182886,-127.85832958963664,0.012477456156641599,0.007943103654002063
0.19999999999999996,0.19999999999999996,-127.80966052630797,-127.85637622586704,0.011116895543199761,0.007190704158366881
0.20999999999999996,0.20999999999999996,-127.81082369085128,-127.84448850793044,0.009365987315619549,0.008543221221446344
0.21999999999999997,0.21999999999999997,-127.84347513796047,-127.85199496264443,0.01459639834107546,0.008693919909679106
0.22999999999999998,0.22999999999999998,-127.85491579709434,-127.85366291275116,0.020744997012233552,0.007376167115822676
0.24,0.24,-127.85157444194522,-127.84466037698982,0.023883575852907412,0.008203491983264418
0.25,0.25,-127.85864733742835,-127.84457175339973,0.02664732030865914,0.008819959115180076
0.26,0.26,-127.85813566363402,-127.85301018707958,0.026955806071749296,0.008752263751904112
0.27,0.27,-127.8741798444798,-127.86313511644148,0.02730374512014146,0.008940088201449883
0.28,0.28,-127.87991012226776,-127.87167052367906,0.02843446282871518,0.008765024569852831
0.29000000000000004,0.29000000000000004,-127.87774596334131,-127.88263131042642,0.02491094687061124,0.012579280646345989
0.30000000000000004,0.30000000000000004,-127.87784262720822,-127.88905556859375,0.02110300111979192,0.01622530665722599
0.31000000000000005,0.31000000000000005,-127.88768920256594,-127.89593422416164,0.014763239642074133,0.018758264494019992
0.31999999999999995,0.31999999999999995,-127.88796949957779,-127.90861514881878,0.013752837674570502,0.02254801249122574
0.32999999999999996,0.32999999999999996,-127.89479151023775,-127.90816889845115,0.014382371492260217,0.024478693676622393
0.33999999999999997,0.33999999999999997,-127.89094281708265,-127.90037154638877,0.012578740032740243,0.022798864471612945
0.35,0.35,-127.89239046232733,-127.89495641449224,0.011003608747932006,0.018914435992889455
0.36,0.36,-127.88543122481931,-127.88783817135668,0.0070612758034741385,0.014760956030414378
0.37,0.37,-127.89277579413576,-127.8864463445855,0.006339268647739255,0.01148165575960885
0.38,0.38,-127.90662551479902,-127.89394140681978,0.008423614053920843,0.00883177326583472
0.39,0.39,-127.91140036434533,-127.88813322681824,0.009844207588083301,0.00813353005014694
0.4,0.4,-127.9132296159506,-127.8871738546757,0.010228478268675715,0.00831497647886369
0.41000000000000003,0.41000000000000003,-127.92200190843238,-127.88690063818356,0.012510501234517761,0.00870293091083108
0.42000000000000004,0.42000000000000004,-127.91891674314888,-127.88015857330818,0.013085450110798107,0.008118305833736678
0.43000000000000005,0.43000000000000005,-127.91547767094944,-127.87953243910688,0.013303147058370327,0.006423139863735437
0.43999999999999995,0.43999999999999995,-127.90678851179952,-127.87155800821111,0.012363969024573,0.00696813618808506
0.44999999999999996,0.44999999999999996,-127.90884775712458,-127.86579634568234,0.011328595936092445,0.008565646355698663
0.45999999999999996,0.45999999999999996,-127.90794018908596,-127.8654117151237,0.008084908675545293,0.009914470716639513
0.47,0.47,-127.90811714213885,-127.86733922938214,0.0053680366707406545,0.01046799394927924
0.48,0.48,-127.91490231352665,-127.86966351334087,0.005089354043992964,0.009258662981797238
0.49,0.49,-127.91861291980804,-127.87512541967409,0.005377810781877664,0.00824939844719217
0.5,0.5,-127.92401819909767,-127.87146786242992,0.006320726106517991,0.007054301906847918
0.51,0.51,-127.93397969255138,-127.88139395350889,0.008608161402344057,0.006012209820916392
0.52,0.52,-127.93644962446658,-127.88017946704268,0.010823099424070266,0.006015075523873382
0.53,0.53,-127.94180034397638,-127.88439225882674,0.013210594929528677,0.00677282376396889
0.54,0.54,-127.95101028668367,-127.89377110058923,0.01545363234107439,0.00932449581230242
0.55,0.55,-127.95782110901666,-127.89564768749631,0.017537743670247734,0.010582560593748187
0.56,0.56,-127.96715980093842,-127.90021765469913,0.019364959211575775,0.011505333249009509
0.5700000000000001,0.5700000000000001,-127.97029321268687,-127.90361799680704,0.019616345676005675,0.012101225743975251
0.5800000000000001,0.5800000000000001,-127.97754219483474,-127.90219956840805,0.020136515971558012,0.011724027489644729
0.5900000000000001,0.5900000000000001,-127.97996275307722,-127.90501326731594,0.019570545132125812,0.011659737968851653
0.6,0.6,-127.98000125784654,-127.90200119839815,0.017982664987574674,0.009554471044076873
0.61,0.61,-127.97607171150945,-127.89983913530725,0.016151913504035456,0.008377469618038076
0.62,0.62,-127.9741814559731,-127.90107450361604,0.013184476749901718,0.006098180534995738
0.63,0.63,-127.97665105952328,-127.90469806958266,0.00977753942556874,0.003675416690616244
0.64,0.64,-127.97543288556511,-127.90047982869592,0.006810319191337599,0.002741998175710413
0.65,0.65,-127.97686282030531,-127.90410797096197,0.004030426404753475,0.0019269570980682362
0.6599999999999999,0.6599999999999999,-127.98713950556613,-127.90720248171183,0.0044166266749321986,0.002306747155538485
0.6699999999999999,0.6699999999999999,-127.99520695710298,-127.90980118841941,0.006492553520432881,0.0031561474559130133
0.6799999999999999,0.6799999999999999,-127.9935044387643,-127.90843179898802,0.007697427562658743,0.003442098376315733
0.69,0.69,-127.98777924645468,-127.90455403473258,0.007917535834905676,0.003434059269135001
0.7,0.7,-127.9817961195242,-127.9005908528112,0.007880316091006659,0.0035618476406647915
0.71,0.71,-127.9794787817772,-127.89587491784863,0.007643393672355461,0.004241747559935261
0.72,0.72,-127.98102875827273,-127.89717203796317,0.0070704163007960326,0.004666500575291176
0.73,0.73,-127.978666274842,-127.89455693871336,0.006880051826779956,0.005374964909757405
0.74,0.74,-127.97711269037926,-127.89080102218539,0.006673465881937689,0.006490304842512647
0.75,0.75,-127.98056693527758,-127.88751563567777,0.006336368640943871,0.007702953117860519
0.76,0.76,-127.97803972349976,-127.8822737472565,0.006522464381767663,0.008924211214269064
0.77,0.77,-127.97619186924408,-127.8801655616393,0.005334996351176294,0.009176014873299984
0.78,0.78,-127.97315305675983,-127.87928169264767,0.0039002474426904172,0.008771559058656229
0.79,0.79,-127.97037294645243,-127.8767504081622,0.003609185189611642,0.00849831169831215
0.8,0.8,-127.9677053078503,-127.87012438561511,0.004457525567872331,0.009119825300794493
0.81,0.81,-127.97003374310606,-127.87346396099753,0.004687747898238,0.009026967716159413
0.8200000000000001,0.8200000000000001,-127.96733123414491,-127.8737897701556,0.004822892236214285,0.007975864334155904
