time_ratio,time_ratio,FEP_forward_bythislambda(kcal/mol),FEP_reverse_bythislambda(kcal/mol),FEP_forward_Rolling_STD(kcal/mol),FEP_reverse_Rolling_STD(kcal/mol)
0.01,0.01,,-0.6292998390516751,,0.009179039718933033
0.02,0.02,,-0.630991109674761,,0.009179039718933033
0.03,0.03,,-0.6104875749532044,,0.009179039718933033
0.04,0.04,,-0.6039589946040042,,0.009179039718933033
0.05,0.05,,-0.5989885898604642,,0.009179039718933033
0.06,0.06,,-0.6053285151342913,,0.009179039718933033
0.07,0.07,,-0.599845608961074,,0.009179039718933033
0.08,0.08,,-0.6058778377711426,,0.009179039718933033
0.09,0.09,,-0.602042829409073,,0.009179039718933033
0.1,0.1,,-0.6030029323013145,,0.009179039718933033
0.11,0.11,,-0.6052272341461098,,0.009179039718933033
0.12,0.12,,-0.605699887455038,,0.003315853420694449
0.13,0.13,,-0.6081027407134577,,0.002854790734948935
0.14,0.14,,-0.6069297087591145,,0.0030219767759363273
0.15,0.15,,-0.6053422737669016,,0.002438409913398912
0.16,0.16,,-0.6082998781432712,,0.0026865162312730453
0.17,0.17,,-0.6073881072237716,,0.0020505597161600865
0.18,0.18,,-0.6092600999676335,,0.002326752155893198
0.19,0.19,,-0.6074957282151924,,0.001853390834729128
0.2,0.2,,-0.608371771098688,,0.0013916233334738794
0.21,0.21,,-0.6060802448535798,,0.0012779666812317214
0.22,0.22,,-0.6067712087669417,,0.0011695018042258574
0.23,0.23,,-0.6067120980024491,,0.0011598467921428487
0.24,0.24,,-0.6092488973072127,,0.001307765144048555
0.25,0.25,,-0.6065807770981577,,0.001127208998381001
0.26,0.26,,-0.6077634028186445,,0.0011038264747752864
0.27,0.27,,-0.6102125851828377,,0.0013797716198974354
0.28,0.28,,-0.6046525657417645,,0.0016070420621272113
0.29,0.29,,-0.6076707343058507,,0.0016092856776947066
0.3,0.3,,-0.609917859805548,,0.0017777815550766118
0.31,0.31,,-0.6089687273699442,,0.001744804247121148
0.32,0.32,,-0.610183405055973,,0.0018413925124498025
0.33,0.33,,-0.6098338527521563,,0.0018273587190362484
0.34,0.34,,-0.612536964839053,,0.0022282699692698577
0.35,0.35,,-0.612251541522153,,0.0023116899519755887
0.36,0.36,,-0.6031418494562136,,0.0030265049232783593
0.37,0.37,,-0.603322547681591,,0.0034574461128258492
